rowId,id,category,symbolPath,symbol,type,source,relevance,relevanceToCrabSync,readStatus,naturalObservationStatus,argumentMetadataStatus,ownershipAuthorityStatus,visibilityDirection,lifecycleCoverage,persistenceUiCoverage,writeApplyStatus,safetyClassification,terminalDisposition,coverageDisposition,nextRequiredObservation,checklistLinks,checklistLinkage,coverageCapabilities
script-crabchampions-crabbiomeda-rewarddestructibles-property,script-crabchampions-crabbiomeda-rewarddestructibles-property,crystals-economy,/Script/CrabChampions.CrabBiomeDA:RewardDestructibles,CrabBiomeDA.RewardDestructibles,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ArrayProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,staged-read-required,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; world-reward-selection,crystals
script-crabchampions-crabbiomeda-shopislands-property,script-crabchampions-crabbiomeda-shopislands-property,crystals-economy,/Script/CrabChampions.CrabBiomeDA:ShopIslands,CrabBiomeDA.ShopIslands,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ArrayProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,staged-read-required,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-shop,coverage-crystals-economy; resource-crystal-gain; world-shop,crystals
script-crabchampions-crabbiomeda-shopmusic-property,script-crabchampions-crabbiomeda-shopmusic-property,crystals-economy,/Script/CrabChampions.CrabBiomeDA:ShopMusic,CrabBiomeDA.ShopMusic,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-shop,coverage-crystals-economy; resource-crystal-gain; world-shop,crystals
script-crabchampions-crabchallenge-cosmeticreward-struct-field,script-crabchampions-crabchallenge-cosmeticreward-struct-field,crystals-economy,/Script/CrabChampions.CrabChallenge:CosmeticReward,CrabChallenge.CosmeticReward,struct field,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: StructProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,staged-read-required,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; world-reward-selection,crystals
script-crabchampions-crabchest-currencytype-property,script-crabchampions-crabchest-currencytype-property,crystals-economy,/Script/CrabChampions.CrabChest:CurrencyType,CrabChest.CurrencyType,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: EnumProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-chest,coverage-crystals-economy; resource-crystal-gain; world-chest,crystals
script-crabchampions-crabcrystalpickup-crabcrystalpickup-actor,script-crabchampions-crabcrystalpickup-crabcrystalpickup-actor,crystals-economy,/Script/CrabChampions.CrabCrystalPickup,CrabCrystalPickup,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: Class,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain,coverage-crystals-economy; resource-crystal-gain,crystals
script-crabchampions-crabcrystalpickup-crystaldroptype-property,script-crabchampions-crabcrystalpickup-crystaldroptype-property,crystals-economy,/Script/CrabChampions.CrabCrystalPickup:CrystalDropType,CrabCrystalPickup.CrystalDropType,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: EnumProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain,coverage-crystals-economy; resource-crystal-gain,crystals
script-crabchampions-crabcrystalpickup-onrep-crystaldroptype-onrep,script-crabchampions-crabcrystalpickup-onrep-crystaldroptype-onrep,crystals-economy,/Script/CrabChampions.CrabCrystalPickup:OnRep_CrystalDropType,CrabCrystalPickup.OnRep_CrystalDropType,OnRep,object dump,"Crystals and economy; may reveal replication direction, natural follow-up, ownership, or UI behavior.","Crystals and economy; may reveal replication direction, natural follow-up, ownership, or UI behavior.",not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 0 parameter(s); runtime values unobserved,replication receiver callback candidate; sender authority unproven,replicated-state follow-up on receiving peer,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,possible official UI/replication follow-up; invocation safety unproven,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
script-crabchampions-crabdestructible-crystalstospawnrarity-property,script-crabchampions-crabdestructible-crystalstospawnrarity-property,crystals-economy,/Script/CrabChampions.CrabDestructible:CrystalsToSpawnRarity,CrabDestructible.CrystalsToSpawnRarity,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: EnumProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; inventory-rarity-cooldown-stack; resource-crystal-gain,coverage-crystals-economy; inventory-rarity-cooldown-stack; resource-crystal-gain,crystals
script-crabchampions-crabgameplayui-crystalsdifferencetext-property,script-crabchampions-crabgameplayui-crystalsdifferencetext-property,crystals-economy,/Script/CrabChampions.CrabGameplayUI:CrystalsDifferenceText,CrabGameplayUI.CrystalsDifferenceText,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
script-crabchampions-crabgameplayui-crystalstext-property,script-crabchampions-crabgameplayui-crystalstext-property,crystals-economy,/Script/CrabChampions.CrabGameplayUI:CrystalsText,CrabGameplayUI.CrystalsText,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
script-crabchampions-crabgameplayui-gauntletcrystalbundlestext-property,script-crabchampions-crabgameplayui-gauntletcrystalbundlestext-property,crystals-economy,/Script/CrabChampions.CrabGameplayUI:GauntletCrystalBundlesText,CrabGameplayUI.GauntletCrystalBundlesText,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
script-crabchampions-crabgameplayui-onupdatedcrystalsanim-property,script-crabchampions-crabgameplayui-onupdatedcrystalsanim-property,crystals-economy,/Script/CrabChampions.CrabGameplayUI:OnUpdatedCrystalsAnim,CrabGameplayUI.OnUpdatedCrystalsAnim,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
script-crabchampions-crabgamestateui-islandrewardhorizontalbox-property,script-crabchampions-crabgamestateui-islandrewardhorizontalbox-property,crystals-economy,/Script/CrabChampions.CrabGameStateUI:IslandRewardHorizontalBox,CrabGameStateUI.IslandRewardHorizontalBox,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabgamestateui-islandrewardtext-property,script-crabchampions-crabgamestateui-islandrewardtext-property,crystals-economy,/Script/CrabChampions.CrabGameStateUI:IslandRewardText,CrabGameStateUI.IslandRewardText,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabgamestateui-onupdatedislandrewardrarityanim-property,script-crabchampions-crabgamestateui-onupdatedislandrewardrarityanim-property,crystals-economy,/Script/CrabChampions.CrabGameStateUI:OnUpdatedIslandRewardRarityAnim,CrabGameStateUI.OnUpdatedIslandRewardRarityAnim,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; inventory-rarity-cooldown-stack; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,coverage-crystals-economy; inventory-rarity-cooldown-stack; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection; world-ui-follow-up,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabgauntletinfo-reward-struct-field,script-crabchampions-crabgauntletinfo-reward-struct-field,crystals-economy,/Script/CrabChampions.CrabGauntletInfo:Reward,CrabGauntletInfo.Reward,struct field,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: EnumProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; world-reward-selection,crystals
script-crabchampions-crabgauntletinteractui-rewardborder-property,script-crabchampions-crabgauntletinteractui-rewardborder-property,crystals-economy,/Script/CrabChampions.CrabGauntletInteractUI:RewardBorder,CrabGauntletInteractUI.RewardBorder,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-reward-selection; world-ui-follow-up,crystals
script-crabchampions-crabgauntletinteractui-rewardtext-property,script-crabchampions-crabgauntletinteractui-rewardtext-property,crystals-economy,/Script/CrabChampions.CrabGauntletInteractUI:RewardText,CrabGauntletInteractUI.RewardText,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-reward-selection; world-ui-follow-up,crystals
script-crabchampions-crabgs-gauntletrewards-property,script-crabchampions-crabgs-gauntletrewards-property,crystals-economy,/Script/CrabChampions.CrabGS:GauntletRewards,CrabGS.GauntletRewards,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ArrayProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,staged-read-required,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabgs-rewardlootpool-property,script-crabchampions-crabgs-rewardlootpool-property,crystals-economy,/Script/CrabChampions.CrabGS:RewardLootPool,CrabGS.RewardLootPool,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: EnumProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-reward-selection,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabinteractui-crystaliconimage-property,script-crabchampions-crabinteractui-crystaliconimage-property,crystals-economy,/Script/CrabChampions.CrabInteractUI:CrystalIconImage,CrabInteractUI.CrystalIconImage,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; world-ui-follow-up,crystals
